Engines,DGEN-380 (m/s^2),TJ100 (m/s^2),"Gravity (g, constant)"
0,0,0,9.81
1,4.112903226,2.323503128,9.81
2,7.285714286,4.490500864,9.81
3,9.807692308,6.516290727,9.81
4,11.86046512,8.414239482,9.81
5,13.56382979,10.19607843,9.81
6,15,11.87214612,9.81
7,16.22727273,13.45158906,9.81
8,17.28813559,14.94252874,9.81
9,18.21428571,16.35220126,9.81
10,19.02985075,17.68707483,9.81
11,19.75352113,18.95294897,9.81
12,20.4,20.15503876,9.81
13,20.98101266,21.29804663,9.81
14,21.5060241,22.38622386,9.81
15,21.98275862,23.42342342,9.81
16,22.41758242,24.41314554,9.81
17,22.81578947,25.35857717,9.81
18,23.18181818,26.26262626,9.81
19,23.51941748,27.12795167,9.81
20,23.8317757,27.95698925,9.81
21,24.12162162,28.75197472,9.81
22,24.39130435,29.51496388,9.81
23,24.64285714,30.24785028,9.81
24,24.87804878,30.95238095,9.81
25,25.0984252,31.63017032,9.81
26,25.30534351,32.28271251,9.81
27,25.5,32.91139241,9.81
28,25.68345324,33.5174954,9.81
29,25.85664336,34.10221619,9.81
30,26.02040816,34.66666667,9.81
31,26.17549669,35.21188292,9.81
32,26.32258065,35.73883162,9.81
33,26.46226415,36.24841572,9.81
34,26.59509202,36.74147963,9.81
35,26.72155689,37.21881391,9.81
36,26.84210526,37.68115942,9.81
37,26.95714286,38.12921126,9.81
38,27.06703911,38.56362217,9.81
39,27.17213115,38.98500577,9.81
40,27.27272727,39.39393939,9.81
41,27.36910995,39.79096678,9.81
42,27.46153846,40.17660044,9.81
43,27.55025126,40.5513239,9.81
44,27.63546798,40.91559371,9.81
45,27.7173913,41.26984127,9.81
46,27.79620853,41.6144746,9.81
47,27.87209302,41.94987985,9.81
48,27.94520548,42.27642276,9.81
49,28.01569507,42.59445002,9.81
50,28.08370044,42.90429043,9.81
51,28.14935065,43.20625611,9.81
52,28.21276596,43.5006435,9.81
53,28.27405858,43.78773435,9.81
54,28.33333333,44.06779661,9.81
55,28.39068826,44.34108527,9.81
56,28.44621514,44.60784314,9.81
57,28.5,44.86830154,9.81
58,28.55212355,45.12268103,9.81
59,28.6026616,45.37119196,9.81
60,28.65168539,45.61403509,9.81
